aligned_cluster_id,centroid,economic_rank,raw_cluster_id,semantic_label,size,snapshot_date
0,"{""mom_63"": 0.013199541891024874, ""ram_63"": 0.05937615356687509, ""vol_63"": 0.26876013736309295}",1,0,Low Momentum / Low Risk,4,2024-05-31
1,"{""mom_63"": 0.2501687636193589, ""ram_63"": 0.7838465258762595, ""vol_63"": 0.32188045860285286}",0,1,High Momentum / High Risk,4,2024-05-31
2,"{""mom_63"": -0.09359555213626347, ""ram_63"": -0.6111054870450273, ""vol_63"": 0.1553435596861367}",2,2,Low Momentum / Low Risk,2,2024-05-31
0,"{""mom_63"": -0.05735491058729499, ""ram_63"": -0.20667281051539907, ""vol_63"": 0.325882392770962}",2,0,Low Momentum / High Risk,3,2024-06-28
2,"{""mom_63"": -0.042937684552177946, ""ram_63"": -0.3020439128456386, ""vol_63"": 0.18246514633750913}",1,1,Low Momentum / Low Risk,4,2024-06-28
1,"{""mom_63"": 0.23239833012964387, ""ram_63"": 0.800999398457401, ""vol_63"": 0.2869025024900082}",0,2,High Momentum / High Risk,3,2024-06-28
0,"{""mom_63"": -0.05451305329468651, ""ram_63"": -0.3019223391561483, ""vol_63"": 0.18681961389015453}",2,0,Low Momentum / Low Risk,3,2024-07-31
2,"{""mom_63"": 0.07091771206801385, ""ram_63"": 0.38108075498546223, ""vol_63"": 0.18777492512561586}",1,1,High Momentum / Low Risk,3,2024-07-31
1,"{""mom_63"": 0.14559673492415348, ""ram_63"": 0.5356047133195089, ""vol_63"": 0.2781744671587808}",0,2,High Momentum / High Risk,4,2024-07-31
1,"{""mom_63"": 0.11058603720440319, ""ram_63"": 0.4143316781653306, ""vol_63"": 0.2720601141083786}",0,0,High Momentum / High Risk,4,2024-08-30
2,"{""mom_63"": 0.032375824461636116, ""ram_63"": 0.20715550357655999, ""vol_63"": 0.1574282115232026}",1,1,High Momentum / Low Risk,2,2024-08-30
0,"{""mom_63"": -0.0650133406418675, ""ram_63"": -0.3000454107211951, ""vol_63"": 0.24176200809225068}",2,2,Low Momentum / Low Risk,4,2024-08-30
0,"{""mom_63"": -0.07052012148823084, ""ram_63"": -0.36834467526734826, ""vol_63"": 0.19145144812273077}",2,0,Low Momentum / Low Risk,1,2024-09-30
1,"{""mom_63"": 0.031228077325737253, ""ram_63"": 0.11852825931387288, ""vol_63"": 0.2518684686051594}",1,1,Low Momentum / High Risk,6,2024-09-30
2,"{""mom_63"": 0.06724175266161152, ""ram_63"": 0.35933990743451555, ""vol_63"": 0.18476677082060056}",0,2,High Momentum / Low Risk,3,2024-09-30
0,"{""mom_63"": 0.012103027620076368, ""ram_63"": 0.06849840554375257, ""vol_63"": 0.17666003088826868}",1,0,Low Momentum / Low Risk,4,2024-10-31
1,"{""mom_63"": 0.09449113519106762, ""ram_63"": 0.4130936841920005, ""vol_63"": 0.2260501920802097}",0,1,High Momentum / High Risk,3,2024-10-31
2,"{""mom_63"": -0.0462327039273864, ""ram_63"": -0.2155265484863792, ""vol_63"": 0.2142410407594444}",2,2,Low Momentum / High Risk,3,2024-10-31
0,"{""mom_63"": 0.022049847325731592, ""ram_63"": 0.11860511405178953, ""vol_63"": 0.19450395083329805}",0,0,High Momentum / High Risk,4,2024-11-29
1,"{""mom_63"": -0.10397369547782429, ""ram_63"": -0.6412351362944001, ""vol_63"": 0.16525259887077526}",2,1,Low Momentum / Low Risk,5,2024-11-29
2,"{""mom_63"": 0.017452728746546686, ""ram_63"": 0.15376973899761076, ""vol_63"": 0.11349911146573426}",1,2,High Momentum / Low Risk,1,2024-11-29
0,"{""mom_63"": 0.054545558517237414, ""ram_63"": 0.26177562200760707, ""vol_63"": 0.2013845168889056}",0,0,High Momentum / High Risk,4,2024-12-31
2,"{""mom_63"": -0.055636679955506585, ""ram_63"": -0.5300849708621939, ""vol_63"": 0.10421552820961918}",1,1,Low Momentum / Low Risk,3,2024-12-31
1,"{""mom_63"": -0.09593713075020338, ""ram_63"": -0.4611916426612293, ""vol_63"": 0.21546149542475668}",2,2,Low Momentum / High Risk,3,2024-12-31
1,"{""mom_63"": -0.04032610943290038, ""ram_63"": -0.1753468320422316, ""vol_63"": 0.22605168465577616}",2,0,Low Momentum / High Risk,6,2025-01-24
0,"{""mom_63"": 0.14506591487362241, ""ram_63"": 0.7213273401207149, ""vol_63"": 0.2011096859982397}",0,1,High Momentum / Low Risk,1,2025-01-24
2,"{""mom_63"": -0.03341164096644581, ""ram_63"": -0.3465730256750733, ""vol_63"": 0.10018977941482918}",1,2,Low Momentum / Low Risk,3,2025-01-24
2,"{""mom_63"": -0.02192154973825372, ""ram_63"": -0.19198871392009523, ""vol_63"": 0.11859439689861327}",2,0,Low Momentum / Low Risk,2,2025-02-28
0,"{""mom_63"": 0.07259053335047899, ""ram_63"": 0.3164894187631786, ""vol_63"": 0.22889266437349962}",0,1,High Momentum / High Risk,4,2025-02-28
1,"{""mom_63"": 0.020874904936127398, ""ram_63"": 0.12950867096616644, ""vol_63"": 0.1862278458031701}",1,2,Low Momentum / Low Risk,4,2025-02-28
1,"{""mom_63"": -0.14565274789501234, ""ram_63"": -0.648323850220138, ""vol_63"": 0.21932886614131364}",2,0,Low Momentum / High Risk,3,2025-03-31
0,"{""mom_63"": 0.009658628721815915, ""ram_63"": 0.03498884308839102, ""vol_63"": 0.21817503324844711}",0,1,High Momentum / High Risk,4,2025-03-31
2,"{""mom_63"": -0.010344668100134347, ""ram_63"": -0.08739224362961671, ""vol_63"": 0.13031374895980416}",1,2,High Momentum / Low Risk,3,2025-03-31
0,"{""mom_63"": 0.032067412369801006, ""ram_63"": 0.08483060189135339, ""vol_63"": 0.38418508022946096}",0,0,High Momentum / High Risk,3,2025-04-29
1,"{""mom_63"": -0.2582252624311601, ""ram_63"": -0.584632976362424, ""vol_63"": 0.4472508315902019}",2,1,Low Momentum / High Risk,3,2025-04-29
2,"{""mom_63"": -0.07789694443633363, ""ram_63"": -0.2251740700725907, ""vol_63"": 0.3454533383797922}",1,2,Low Momentum / Low Risk,4,2025-04-29
2,"{""mom_63"": -0.07990898499922416, ""ram_63"": -0.23355941402468414, ""vol_63"": 0.34751378445408704}",1,0,High Momentum / Low Risk,5,2025-05-30
1,"{""mom_63"": -0.19994699567266105, ""ram_63"": -0.41593306509277106, ""vol_63"": 0.4835843237705786}",2,1,Low Momentum / High Risk,3,2025-05-30
0,"{""mom_63"": 0.022759756079501925, ""ram_63"": 0.054326847378094914, ""vol_63"": 0.37048085905557726}",0,2,High Momentum / High Risk,2,2025-05-30
0,"{""mom_63"": 0.05502205373847809, ""ram_63"": 0.14296155417558495, ""vol_63"": 0.39794577040490425}",0,0,High Momentum / High Risk,3,2025-06-30
2,"{""mom_63"": -0.05436281309731579, ""ram_63"": -0.15686525860281525, ""vol_63"": 0.3519642939551586}",2,1,Low Momentum / Low Risk,5,2025-06-30
1,"{""mom_63"": -0.025868683148459914, ""ram_63"": -0.047626165214400086, ""vol_63"": 0.5808267822703665}",1,2,Low Momentum / High Risk,2,2025-06-30
1,"{""mom_63"": 0.2273007726487014, ""ram_63"": 0.5745582568765664, ""vol_63"": 0.3883758220130029}",1,0,High Momentum / High Risk,2,2025-07-31
0,"{""mom_63"": 0.4805210616021427, ""ram_63"": 1.5065569034986774, ""vol_63"": 0.31895314440910166}",0,1,High Momentum / High Risk,1,2025-07-31
2,"{""mom_63"": 0.11104195273912075, ""ram_63"": 0.511005572526078, ""vol_63"": 0.21926408017420818}",2,2,Low Momentum / Low Risk,7,2025-07-31
1,"{""mom_63"": 0.03711346978981469, ""ram_63"": 0.1122304684933012, ""vol_63"": 0.302847394569983}",2,0,Low Momentum / High Risk,5,2025-08-29
0,"{""mom_63"": 0.7224517906336088, ""ram_63"": 1.8596832580055962, ""vol_63"": 0.38848109618860416}",0,1,High Momentum / High Risk,1,2025-08-29
2,"{""mom_63"": 0.20811347890435677, ""ram_63"": 0.8020190908126872, ""vol_63"": 0.25013388472637826}",1,2,High Momentum / Low Risk,4,2025-08-29
2,"{""mom_63"": 0.10609846869805524, ""ram_63"": 0.33327221983075145, ""vol_63"": 0.3235010360820436}",1,0,High Momentum / High Risk,5,2025-09-30
1,"{""mom_63"": -0.030117448864400653, ""ram_63"": -0.12993021831083557, ""vol_63"": 0.21090837763612597}",2,1,Low Momentum / Low Risk,4,2025-09-30
0,"{""mom_63"": 0.6169197147458017, ""ram_63"": 1.4629847800799896, ""vol_63"": 0.42168566833078824}",0,2,High Momentum / High Risk,1,2025-09-30
0,"{""mom_63"": 0.2668691588785046, ""ram_63"": 0.757826923842567, ""vol_63"": 0.35215053791615447}",0,0,High Momentum / High Risk,1,2025-10-31
2,"{""mom_63"": 0.04197342564032333, ""ram_63"": 0.11340748524340154, ""vol_63"": 0.38349357125501304}",1,1,High Momentum / High Risk,4,2025-10-31
1,"{""mom_63"": -0.010649918621501376, ""ram_63"": -0.04109031827009391, ""vol_63"": 0.2585050265010755}",2,2,Low Momentum / Low Risk,5,2025-10-31
1,"{""mom_63"": 0.014126565647689715, ""ram_63"": 0.04274864841476258, ""vol_63"": 0.2982547017885256}",0,0,High Momentum / Low Risk,8,2025-11-28
2,"{""mom_63"": -0.20295215247234444, ""ram_63"": -0.4953506708883962, ""vol_63"": 0.4097140962953699}",2,1,Low Momentum / High Risk,1,2025-11-28
0,"{""mom_63"": -0.15783794968813736, ""ram_63"": -0.7923078527623788, ""vol_63"": 0.19921290586460283}",1,2,Low Momentum / Low Risk,1,2025-11-28
1,"{""mom_63"": -0.012995869701378938, ""ram_63"": -0.025309365744045235, ""vol_63"": 0.321125963005185}",1,0,Low Momentum / High Risk,5,2025-12-31
2,"{""mom_63"": 0.17246492374700498, ""ram_63"": 0.5093947735491486, ""vol_63"": 0.34303856800794297}",0,1,High Momentum / High Risk,3,2025-12-31
0,"{""mom_63"": -0.061164486835856124, ""ram_63"": -0.34047202752555494, ""vol_63"": 0.18103964126603422}",2,2,Low Momentum / Low Risk,2,2025-12-31
