snapshot_date,candidate_universe,candidate_rows_available,feature_snapshot_present,feature_complete,market_feature_ready_v2,insufficient_21_session_window,insufficient_63_session_window,insufficient_126_session_window,insufficient_252_session_window,minimum_three_calendar_year_history_fail,benchmark_beta_dependency_fail,liquidity_activity_fail,calendar_uncertainty,provider_boundary_history_fail,metadata_pit_fail,candidate_entry_or_no_snapshot,month_to_month_ready_change,classification,evidence
2020-11-30,952,859,859,0,0,308,341,444,859,859,444,307,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,14,0,93,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2020-12-31,952,865,865,0,0,62,345,388,865,865,388,62,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,18,0,87,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2021-01-29,952,871,871,324,0,61,337,387,547,871,387,19,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,20,0,81,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2021-02-26,952,871,871,0,0,367,437,474,595,871,871,364,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,20,0,81,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2021-03-31,952,874,874,0,0,583,622,626,715,874,874,582,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,21,0,78,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2021-04-29,952,878,878,0,0,171,624,630,698,878,878,171,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,23,0,74,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2021-05-31,952,879,879,0,0,157,619,630,699,879,879,157,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,23,0,73,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2021-06-30,952,881,881,0,0,350,395,672,677,881,881,349,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,24,0,71,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2021-07-30,952,884,884,0,0,80,411,671,679,884,884,79,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,26,0,68,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2021-08-31,952,889,889,174,0,307,610,708,715,889,708,298,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,28,0,63,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2021-09-30,952,891,891,115,0,232,443,707,776,891,707,231,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,29,0,61,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2021-10-29,952,892,892,101,0,298,447,747,791,892,747,298,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,30,0,60,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2021-11-30,952,893,893,102,0,8,391,726,791,893,726,8,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,30,0,59,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2021-12-31,952,896,896,0,0,262,558,702,793,896,896,261,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,32,0,56,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2022-01-28,952,900,900,0,0,139,311,706,797,900,900,139,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,32,0,52,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2022-02-28,952,901,901,0,0,33,308,692,798,901,901,32,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,32,0,51,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2022-03-31,952,902,902,0,0,9,161,585,764,902,902,9,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,33,0,50,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2022-04-29,952,903,903,0,0,724,734,740,892,903,903,724,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,34,0,49,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2022-05-31,952,905,905,0,0,8,729,741,894,905,905,7,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,35,0,47,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2022-06-30,952,906,906,12,0,6,729,741,894,906,741,6,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,36,0,46,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2022-07-29,952,909,909,14,0,23,31,741,895,909,741,23,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,37,0,43,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2022-08-31,952,909,909,36,0,9,30,735,873,909,735,5,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,37,0,43,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2022-09-30,952,910,910,55,0,12,36,737,855,910,737,12,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,37,0,42,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2022-10-31,952,911,911,117,0,160,169,194,794,911,194,160,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,37,0,41,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2022-11-30,952,913,913,103,0,169,276,299,810,913,299,169,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,38,0,39,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2022-12-30,952,914,914,90,0,92,298,320,824,914,320,92,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,39,0,38,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2023-01-31,952,916,916,90,87,88,258,310,826,142,310,88,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,37,0,36,87,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2023-02-28,952,917,917,92,89,7,106,311,825,119,311,7,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,37,0,35,2,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2023-03-31,952,917,917,93,90,2,92,310,824,97,310,2,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,35,0,35,1,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2023-04-28,952,917,917,570,518,44,49,280,347,90,280,44,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,35,0,35,428,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2023-05-31,952,918,918,0,0,20,55,135,347,86,918,20,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,34,0,34,-518,C_BENCHMARK_CALENDAR_PROPAGATION,VNINDEX missing 2023-05-15 propagates through strict beta_126 window.
2023-06-30,952,918,918,0,0,114,157,225,387,79,918,114,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,32,0,34,0,C_BENCHMARK_CALENDAR_PROPAGATION,VNINDEX missing 2023-05-15 propagates through strict beta_126 window.
2023-07-31,952,919,919,0,0,108,145,176,376,75,919,108,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,31,0,33,0,C_BENCHMARK_CALENDAR_PROPAGATION,VNINDEX missing 2023-05-15 propagates through strict beta_126 window.
2023-08-31,952,919,919,0,0,227,502,535,661,72,919,18,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,30,0,33,0,C_BENCHMARK_CALENDAR_PROPAGATION,VNINDEX missing 2023-05-15 propagates through strict beta_126 window.
2023-09-29,952,920,920,0,0,275,658,708,830,71,920,275,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,30,0,32,0,C_BENCHMARK_CALENDAR_PROPAGATION,VNINDEX missing 2023-05-15 propagates through strict beta_126 window.
2023-10-31,952,920,920,0,0,264,647,687,799,65,920,264,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,28,0,32,0,C_BENCHMARK_CALENDAR_PROPAGATION,VNINDEX missing 2023-05-15 propagates through strict beta_126 window.
2023-11-30,952,920,920,150,142,6,280,679,770,63,679,6,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,28,0,32,142,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2023-12-29,952,921,921,204,195,9,269,661,717,59,661,9,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,25,0,31,53,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2024-01-31,952,925,925,203,196,15,22,301,722,56,301,13,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,27,0,27,1,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2024-02-29,952,925,925,203,196,7,21,296,722,56,296,6,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,27,0,27,0,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2024-03-29,952,925,925,202,197,7,18,283,723,53,283,7,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,26,0,27,1,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2024-04-26,952,925,925,219,214,2,9,280,706,49,280,2,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,24,0,27,17,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2024-05-31,952,925,925,226,221,12,17,33,699,48,33,12,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,24,0,27,7,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2024-06-28,952,926,926,245,240,8,14,30,681,47,30,6,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,24,0,26,19,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2024-07-31,952,928,928,250,247,6,19,26,678,46,26,6,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,24,0,24,7,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2024-08-30,952,929,929,617,595,6,14,27,312,42,27,6,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,23,0,23,348,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2024-09-30,952,929,929,627,606,7,13,26,302,40,26,7,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,22,0,23,11,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2024-10-31,952,929,929,628,608,6,12,28,301,39,28,6,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,21,0,23,2,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2024-11-29,952,930,930,804,780,81,86,97,126,39,97,81,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,22,0,22,172,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2024-12-31,952,932,932,600,589,303,306,312,332,38,312,303,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,22,0,20,-191,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2025-01-24,952,932,932,601,589,12,311,317,331,34,317,11,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,22,0,20,0,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2025-02-28,952,932,932,0,0,932,932,932,932,33,932,932,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,22,0,20,-589,B_SPARSE_INCOMPLETE_MARKET_EVIDENCE,No equity price rows on open session 2025-02-03; strict mom_252 requires 253 prices.
2025-03-31,952,932,932,0,0,630,932,932,932,32,932,630,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,21,0,20,0,B_SPARSE_INCOMPLETE_MARKET_EVIDENCE,No equity price rows on open session 2025-02-03; strict mom_252 requires 253 prices.
2025-04-29,952,933,933,0,0,5,933,933,933,32,933,5,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,21,0,19,0,B_SPARSE_INCOMPLETE_MARKET_EVIDENCE,No equity price rows on open session 2025-02-03; strict mom_252 requires 253 prices.
2025-05-30,952,933,933,0,0,352,632,933,933,30,933,352,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,20,0,19,0,B_SPARSE_INCOMPLETE_MARKET_EVIDENCE,No equity price rows on open session 2025-02-03; strict mom_252 requires 253 prices.
2025-06-30,952,935,935,0,0,6,356,935,935,31,935,6,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,21,0,17,0,B_SPARSE_INCOMPLETE_MARKET_EVIDENCE,No equity price rows on open session 2025-02-03; strict mom_252 requires 253 prices.
2025-07-31,952,935,935,0,0,84,364,935,935,28,935,84,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,20,0,17,0,B_SPARSE_INCOMPLETE_MARKET_EVIDENCE,No equity price rows on open session 2025-02-03; strict mom_252 requires 253 prices.
2025-08-29,952,936,936,0,0,48,131,678,936,29,678,47,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,21,0,16,0,B_SPARSE_INCOMPLETE_MARKET_EVIDENCE,No equity price rows on open session 2025-02-03; strict mom_252 requires 253 prices.
2025-09-30,952,936,936,0,0,1,129,409,936,28,409,1,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,21,0,16,0,B_SPARSE_INCOMPLETE_MARKET_EVIDENCE,No equity price rows on open session 2025-02-03; strict mom_252 requires 253 prices.
2025-10-31,952,937,937,0,0,3,49,402,937,28,402,3,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,22,0,15,0,B_SPARSE_INCOMPLETE_MARKET_EVIDENCE,No equity price rows on open session 2025-02-03; strict mom_252 requires 253 prices.
2025-11-28,952,939,939,0,0,6,8,138,939,28,138,6,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,23,0,13,0,B_SPARSE_INCOMPLETE_MARKET_EVIDENCE,No equity price rows on open session 2025-02-03; strict mom_252 requires 253 prices.
2025-12-31,952,939,939,0,0,5,10,138,939,27,138,5,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,22,0,13,0,B_SPARSE_INCOMPLETE_MARKET_EVIDENCE,No equity price rows on open session 2025-02-03; strict mom_252 requires 253 prices.
2026-01-30,952,941,941,0,0,7,13,61,941,27,61,7,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,23,0,11,0,B_SPARSE_INCOMPLETE_MARKET_EVIDENCE,No equity price rows on open session 2025-02-03; strict mom_252 requires 253 prices.
2026-02-27,952,943,943,258,253,4,12,17,685,28,17,4,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,25,0,9,253,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2026-03-31,952,946,946,526,520,4,13,20,420,31,20,4,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,28,0,6,267,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2026-04-29,952,946,946,527,521,0,7,19,419,31,19,0,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,28,0,6,1,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2026-05-29,952,948,948,795,782,4,8,19,153,33,19,4,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,30,0,4,261,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2026-06-30,952,949,949,796,782,3,6,19,153,33,19,2,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,31,0,3,0,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2026-07-31,952,949,949,875,861,2,7,14,74,32,14,1,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,30,0,3,79,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
2026-08-28,952,951,951,922,905,2,5,13,29,34,13,2,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,32,0,1,44,A_EXPECTED_PLUS_B_SECURITY_LEVEL_EVIDENCE,Nonzero readiness; remaining losses follow strict windows/history/boundaries.
